amfi_code,date,nav,fund_name,fund_house,scheme_category
,2018-08-16,58.388,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-08-17,58.7555,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-08-20,58.7597,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-08-21,58.8857,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-08-23,59.031,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-08-24,58.8617,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-08-27,59.3442,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-08-28,59.5545,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-08-29,59.4907,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-08-30,59.5719,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-08-31,60.1287,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-09-03,59.8974,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-09-04,58.889,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-09-05,58.6949,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-09-06,59.2383,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-09-07,59.3814,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-09-10,58.943,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-09-11,58.317,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-09-12,58.2059,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-09-14,58.7983,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-09-17,58.5504,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-09-18,58.0036,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-09-19,57.5821,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-09-21,56.4467,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-09-24,55.2821,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-09-25,54.8274,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-09-26,55.1202,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-09-27,54.4466,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-09-28,53.3171,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-10-01,52.883,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-10-03,52.9192,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-10-04,51.9575,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-10-05,51.0967,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-10-08,50.3191,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-10-09,49.9984,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-10-10,51.6901,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-10-11,51.0028,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-10-12,51.7944,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-10-15,52.1697,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-10-16,52.7174,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-10-17,51.9801,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-10-19,51.425,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-10-22,50.7772,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-10-23,50.1667,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-10-24,50.3952,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-10-25,50.251,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-10-26,50.3325,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-10-29,50.9297,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-10-30,51.4475,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-10-31,51.8851,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-11-01,52.0587,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-11-02,52.5668,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-11-05,52.4327,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-11-06,52.3747,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-11-09,53.0344,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-11-12,52.6627,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-11-13,52.6014,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-11-14,52.847,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-11-15,52.6406,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
